,SVM,KNN,DT,NB,LG,MACC
chromosome_6,0.7302969815,0.696867088608,0.619741966894,0.657641187926,0.730280753002,0.7302969815
chromosome_20,0.7302969815,0.67058909445,0.609741561181,0.66145366764,0.7302969815,0.7302969815
chromosome_15,0.7302969815,0.660331467056,0.624595910419,0.711130720545,0.730312804284,0.730312804284
chromosome_10,0.7302969815,0.671885345667,0.623393784486,0.672974277832,0.7302969815,0.7302969815
chromosome_12,0.7302969815,0.689400357027,0.587689873418,0.692110516066,0.729031158715,0.7302969815
chromosome_19,0.7302969815,0.686885751379,0.627126744563,0.680619928595,0.7302969815,0.7302969815
chromosome_8,0.7302969815,0.694480282376,0.614371551444,0.69472127556,0.7302969815,0.7302969815
chromosome_4,0.7302969815,0.67563412853,0.625763956508,0.716322622525,0.731643135346,0.731643135346
chromosome_16,0.7302969815,0.67199772801,0.631390376501,0.658857919507,0.734143135346,0.734143135346
chromosome_5,0.7302969815,0.671821243103,0.607031402142,0.71007343395,0.7302969815,0.7302969815
chromosome_13,0.7302969815,0.676838283025,0.585591934437,0.712670399221,0.729031158715,0.7302969815
chromosome_Y,0.7302969815,0.683102077248,0.620877150276,0.718823028238,0.7302969815,0.7302969815
chromosome_14,0.7302969815,0.686868305745,0.622047630639,0.681981093801,0.7302969815,0.7302969815
chromosome_21,0.7302969815,0.685649951315,0.606936465433,0.684688412853,0.732861084064,0.732861084064
chromosome_7,0.7302969815,0.690715271016,0.629642973061,0.655122930867,0.730281158715,0.7302969815
chromosome_17,0.7302969815,0.675379746835,0.606887374229,0.665555826031,0.7302969815,0.7302969815
chromosome_X,0.7302969815,0.669112706913,0.619723709834,0.698679406037,0.7302969815,0.7302969815
chromosome_1,0.7302969815,0.685826436222,0.640012171373,0.685910012983,0.722652953586,0.7302969815
chromosome_18,0.7302969815,0.667992129179,0.608170642648,0.681900762739,0.7302969815,0.7302969815
chromosome_3,0.7302969815,0.685699042519,0.626998539435,0.657785621551,0.727732878935,0.7302969815
chromosome_2,0.7302969815,0.673007140539,0.629883966245,0.673183219734,0.72651533593,0.7302969815
chromosome_9,0.7302969815,0.66539556962,0.624692469977,0.678086254463,0.727732878935,0.7302969815
chromosome_22,0.7302969815,0.698391755923,0.600397598182,0.625845504706,0.7302969815,0.7302969815
chromosome_11,0.7302969815,0.689287974684,0.600286027264,0.704752515417,0.730280753002,0.7302969815
